"","win60s","RunName","drowsy","Event_ID","nTime_0","nTime_1","nTime_2","nTime_3","nTime_4","nTime_5","nTime_6","nTime_7","nTime_8","nTime_9","nTime_10","nTime_11","nTime_12","nTime_13","nTime_14","nTime_15","nTime_16","nTime_17","nTime_18","nTime_19","nTime_20","nTime_21","nTime_22","nTime_23","nTime_24","nTime_25","nTime_26","nTime_27","nTime_28","nTime_29","nTime_30","nTime_31","nTime_32","nTime_33","nTime_34","nTime_35","nTime_36","nTime_37","nTime_38","nTime_39","nTime_40","nTime_41","nTime_42","nTime_43","nTime_44","nTime_45","nTime_46","nTime_47","nTime_48","nTime_49","nTime_50","nTime_51","nTime_52","nTime_53","nTime_54","nTime_55","nTime_56","nTime_57","nTime_58","nTime_59","nTime_60"
"2245",25,"A_M1026MM01_3S3RNA",FALSE,304,-2.9442,-3.3398,-2.8125,-3.4498,-3.7353,-3.3398,-3.5156,-2.06545,-2.2851,-3.6035,-3.7134,-5.2296,-3.7132,-3.999,-3.999,-1.9775,-2.8564,-2.59285,-8.5693,-5.31745,-1.99945,-3.47185,-2.8564,-4.2187,-4.70205,-3.9112,-3.31795,-3.7793,-3.8669,-6.2402,-3.9112,-2.3291,-2.9003,-4.3287,-3.999,-4.26245,-4.61415,-3.208,-2.3072,-2.6806,-5.8447,-4.8339,-2.5049,-4.17465,-2.90045,-2.87845,-3.999,-3.86725,-4.1528,-2.2851,-3.164,-3.62545,-4.8779,-4.5264,-3.9332,-2.0215,-2.90035,-4.79,-2.0435,-0.46138,-2.3291
"2246",26,"A_M1026MM01_3S3RNA",TRUE,304,-2.4388,-1.9995,1.0547,0.17565,-1.0107,-1.7578,-0.17576,2.373,0.21972,-2.81245,-10.5685,-8.02005,-6.7013,-13.5345,-15.051,-15.5785,-9.90965,-2.8346,1.9555,2.3071,-2.70245,-2.79055,-0.65902,-0.70312,-4.3727,-4.83375,-7.6025,-8.4374,-12.502,-10.0194,-7.6025,-7.29495,-8.7011,-9.2504,-5.11965,-3.9768,-3.4277,-2.5049,6.7235,9.1624,17.182,18.94,17.402,14.853,18.369,17.952,11.7995,1.29635,0.50537,-0.76912,-1.97755,-2.13135,-3.62545,-2.3511,-7.5146,-6.2622,-5.1415,-5.0317,-5.4053,-5.9765,-6.0205
"2247",27,"A_M1026MM01_3S3RNA",FALSE,305,-6.8554,-3.8452,-3.8232,-4.10875,-5.09755,-4.8339,-6.04235,-5.97645,-4.7461,-3.4717,-3.29585,-3.80125,-1.4943,-0.74706,-0.92284,-1.0547,0.878725,3.6913,4.76815,-0.0657675,3.33975,-0.043945,-1.73585,-1.2744,-1.3183,1.51595,-0.0878895,-0.219935,0.439555,-1.3183,-1.011,1.47215,0.659085,-0.021908375,-0.17578,4.0869,0.329585,0.21972,1.3622,2.9883,-0.175975,-0.8789,-0.176125,1.4062,-1.4942,-1.4941,-0.65917,-0.21972,0.285555,-0.61523,-0.022058245,-0.00025749,-2.13135,-1.3403,2.2193,0.57128,2.04345,-1.84565,-4.9437,-1.09865,-1.58185
"2248",28,"A_M1026MM01_3S3RNA",FALSE,306,0.76891,1.1426,-2.0874,-2.8125,-2.0216,-1.71375,-1.77975,-0.922905,-1.1426,-1.1425,-0.373555,0.1099485,0.439495,0.21981,-1.4941,2.72435,-0.329585,-1.4502,-1.5381,-1.4502,-2.1094,-1.45025,-0.109735,2.2193,-0.28577,-1.23045,0.021886915,1.23015,0.26397,1.6919,5.80085,2.8564,5.5371,3.53755,2.68085,1.9775,-0.703015,0.26367,6.43865,5.625,5.7569,0.72481,1.5161,1.09865,5.36105,5.64695,1.2305,1.34015,3.31795,4.3287,2.5928,1.2525,3.16415,2.6806,2.5928,2.9004,6.5259,2.9883,0.85701,-1.2964,-1.84555
"2249",29,"A_M1026MM01_3S3RNA",FALSE,306,4.1303,3.0322,2.9443,4.15315,4.8339,3.0322,1.1865,2.0875,2.9442,6.1085,2.8564,-0.43941,5.33945,4.1308,0.505305,1.9776,1.582,1.7139,5.25145,3.0541,3.1201,3.1202,2.72435,2.6806,2.7246,3.0761,3.0761,2.61475,2.1094,3.0539,2.17525,1.49405,-0.527255,-0.08789,0,-1.1206,-1.626,-1.7139,0.197581,1.53825,-1.77975,-4.109,-0.8789,-0.08789,-1.4721,-0.96679,-0.76912,-0.59328,-0.28564,0.439085,-0.52734,-0.769035,-0.92297,0,-0.043945,-1.8017,-2.9004,-6.04245,5.66875,4.2627,4.0211
"2250",30,"A_M1026MM01_3S3RNA",FALSE,307,1.1647,-3.60325,-8.52535,-16.545,-19.753,-22.4995,-21.5775,-18.8965,-20.259,-20.237,-21.269,-21.379,-20.698,-20.281,-16.9185,-22.5,-30.476,-28.037,-24.2575,-15.666,-16.282,-18.8305,-22.104,-24.873,-24.4555,-24.434,-24.1915,-22.8295,-22.412,-15.6665,0.65879,1.3622,2.61465,4.131,2.96615,3.3838,3.1201,5.80085,6.8115,7.2949,3.6476,4.13085,4.4824,4.6582,5.5371,6.3281,4.54835,4.6582,4.5703,5.3613,5.4492,4.7461,4.4824,4.3506,5.2734,5.9107,4.6362,5.0538,3.8232,4.79,4.79
"2251",31,"A_M1026MM01_3S3RNA",FALSE,311,4.7461,3.9111,-0.21977,-1.516,-2.54865,-2.7905,-1.1865,-0.26367,-1.56005,-1.5381,-2.2851,-3.7793,-3.8232,-0.48339,-1.4941,-2.15325,-1.07675,-2.9882,-2.6805,-3.14205,-1.0986,0.15376,-3.14195,-2.5268,-1.4282,-1.8676,-1.6039,-1.6699,-0.57128,-1.0547,-1.7797,-2.41705,-1.36225,-1.3623,-1.9336,-1.7139,-1.626,-1.0547,-1.604,-1.1645,-1.1865,-1.9336,-0.79101,-2.1533,-3.0761,-1.4062,-1.3183,-1.0766,-1.0547,-1.2744,-1.2744,-1.2744,-0.79101,-1.09865,-1.31845,-1.49415,-1.14265,-1.582,0.52734,-0.4396,-0.17578
"2252",32,"A_M1026MM01_3S3RNA",FALSE,311,-0.26367,-1.1427,-1.4502,-0.85708,-1.2744,0.43945,-0.92284,-0.70312,-1.4502,-1.01065,-1.0986,-1.1426,-0.96679,-1.3623,0.3955,-0.3955,-0.21972,-0.681015,-1.0547,-1.0547,-0.70312,0.285665,-0.30761,-0.54931,-0.043945,-0.72509,-1.07665,-0.57128,0.2197,-0.70312,-0.46142,-0.197795,-0.35156,-0.35156,-0.92297,-0.83495,-0.043945,-0.3955,0.659195,-1.2965,-0.65917,-0.65913,-0.0438165,-0.19771,-0.922715,-1.2305,-0.74706,-1.604,-1.8457,-1.6699,-0.74706,-0.17593,1.2084,1.40635,-0.70299,-2.19685,-0.70299,-1.3623,-1.9336,-0.74706,-0.834825
"2253",33,"A_M1026MM01_3S3RNA",FALSE,311,-1.0107,-0.48339,-0.17578,-0.17578,-0.988825,-0.79101,-1.8017,-1.16455,-0.72518,-0.307635,-0.52734,-0.153725,-1.2305,-0.48339,-0.48339,-0.043945,-1.4062,-2.3951,-0.96679,0.175715,-0.48339,-1.0545,-1.69175,-0.153701,-0.83495,-0.32967,-0.79101,-1.626,-0.83495,-0.52734,-0.08789,-0.21972,-1.49405,-2.10925,-1.29635,0.043945,0.08789,0.39542,-1.2744,-1.27435,-0.70312,-0.61523,-0.21972,-0.92284,-0.3077,-0.24161,-0.74706,-0.8789,-1.4502,0.0219725,0.43945,-0.3077,-0.043988,-0.28564,0.26367,0.043945,-0.81298,-1.5381,0.35143,-0.57128,-1.0107
"2254",34,"A_M1026MM01_3S3RNA",FALSE,311,-0.96679,-0.35156,-0.43945,0.08789,0.13183,0.08789,-1.2524,-0.92284,-0.461295,-1.62595,-0.6372,-0.856925,0.17578,-0.96679,-0.6811,0.131875,-0.74706,-0.48339,0.43945,-0.30753,-1.1647,-1.4502,-1.9775,-1.9336,0.30761,1.8458,0.74706,-1.582,-1.9115,-1.5381,-1.2305,-1.2305,-1.4062,2.63715,0.439535,-1.0107,-1.1426,-1.9775,0.17578,-0.61523,0.17578,-0.74706,-2.0654,-1.4062,-0.13183,-0.13183,0.0877615,-1.4722,-1.692,-1.4723,-1.4502,-1.42815,-1.8677,-1.9775,-0.94473,-0.966685,-0.944815,-1.7139,-1.7139,-1.6259,-0.988895
"2255",35,"A_M1026MM01_3S3RNA",TRUE,311,-0.57128,-1.2305,-1.2744,-0.83495,-1.582,-1.88975,-1.34035,-1.4941,-1.2744,-1.1426,-0.65917,-0.70312,-1.42815,-0.57128,-0.57128,-0.74706,0.08789,0.17578,0.26367,-0.35113,-0.65917,1.07665,-1.42765,-3.27505,-1.0986,-0.483265,0.461595,-0.43945,0,0.703075,-0.52734,-0.52734,-0.74706,-1.4941,-1.47245,-0.3955,-0.70269,-1.143,-0.3955,0.242,-1.7575,-1.9336,-1.8017,-1.07665,-1.5381,-1.2305,-1.34045,-1.2091,0.043945,-1.14215,-1.3623,-1.3623,-1.5381,-1.011,-1.2305,-0.52734,-0.944515,-1.5601,-1.47215,-2.15315,-2.0651
"2256",36,"A_M1026MM01_3S3RNA",FALSE,311,-1.4502,-1.8457,-1.0107,-0.61523,-1.626,-1.4062,-1.53835,-1.4058,-2.1533,-2.3068,-1.4941,-1.3623,-1.1206,-1.6699,-1.8017,-3.0101,-3.296,-2.0215,-1.4062,-0.219465,0.264525,-2.3731,-0.65917,-1.1426,-2.2412,-1.9113,-1.582,-0.856665,-0.000428999999999999,0.17578,-0.26367,-1.4062,0.261524,0.70355,0.08789,-1.29655,-1.2305,-1.6919,-2.17525,0.769765,2.9004,0.30761,-1.7139,-1.8896,-1.3183,-0.61523,-0.41778,0.13183,0.13183,-0.065617,-0.35156,-0.3955,-0.8789,-0.8789,-0.57128,-0.96679,-1.6037,-0.131835,-0.1101605,-0.13183,-0.35156
"2257",37,"A_M1026MM01_3S3RNA",TRUE,311,-0.3519,-1.71405,-0.85723,0.351515,0.17578,0.13183,0.26367,0.26367,-0.43962,-1.9336,-1.2085,-1.0547,-1.2517,-1.3623,-0.57128,-0.57128,-0.8789,-0.8789,1.0986,2.2632,-1.3183,-1.4941,-0.263925,-1.0547,-1.0107,-1.8456,0.41739,-0.043945,-0.856925,-1.4941,-0.966575,-0.96679,-1.75765,-0.30761,-0.812985,-1.1426,-0.43945,-1.4941,-1.8896,-1.8896,-1.9336,4.3506,4.19715,-1.93315,-2.35105,-1.6699,-0.17578,0.61523,-0.79058,-1.626,-0.65917,0.594245,1.4502,-0.17578,-1.8017,-1.9336,-0.35156,0.17578,-0.17578,-0.08789,0.65917
"2258",38,"A_M1026MM01_3S3RNA",TRUE,311,0.21972,0.109903,0.10986,-1.2305,-1.0986,-0.944815,0.26367,-0.922415,-2.3291,-3.1201,-0.83495,-0.8789,-1.7578,-2.3291,-2.4829,-0.81298,-1.25245,-0.900615,-1.4502,-1.2744,-0.81298,-1.4062,-1.7578,-1.4941,-1.4941,-1.6919,-2.3293,-2.3948,-0.966705,-1.0107,-1.6478,-2.1972,-1.0325,-1.2305,-0.61523,-0.79101,-0.79101,-0.3955,-1.1426,-1.1426,-1.1426,-1.1426,-0.57128,-1.0547,-1.0547,-0.1101605,0.2635,0.043945,0.52734,-2.7246,-5.73485,-0.63763,0.241695,1.1206,0.396365,-1.2744,-1.8676,-0.153545,-1.4502,-1.0107,-1.5381
"2259",39,"A_M1026MM01_3S3RNA",TRUE,311,-0.26367,-0.416615,-1.2522,-2.4609,-0.988745,-0.0448035,0.15415,-0.13183,-1.5818,-1.582,-2.19705,-1.7578,-0.85723,-0.066046,-0.21972,-0.3955,0.35156,0.26367,-1.3841,-2.417,-3.4277,-0.61523,0.28564,-0.92284,-0.52734,-0.373535,-1.626,-0.17578,0.48339,-1.3183,-1.582,-0.8789,-1.1426,-0.682305,0.61523,0.37353,-1.0107,-1.0107,-2.8125,-1.3183,-2.37305,0.241955,-0.307055,0.901085,-0.39546,-1.25245,-1.0986,-0.59283,-1.1426,-0.08789,-0.92284,-1.1426,0.35156,-0.43945,1.12035,0.592955,-0.46142,-0.61523,-0.681145,-1.23115,-2.7689
"2260",40,"A_M1026MM01_3S3RNA",FALSE,311,-2.7246,-0.835255,0.043945,1.47175,2.2192,-3.1636,-2.3295,-2.4832,0.1314065,1.29665,0.3955,-0.329675,-1.51525,-2.0654,-1.9775,-1.0986,-0.54931,-0.63806,1.0986,-0.52764,-0.70312,-1.84635,-0.637075,-1.7139,-1.6699,-2.74655,-1.4509,1.5381,1.428,-1.9336,-1.49455,-0.74706,-1.14265,-1.3622,-0.8789,-0.35156,-0.21972,-1.582,-1.582,-0.373275,-1.16415,-2.2851,-2.1094,-2.0657,-0.923055,-0.96679,-0.79101,-1.01045,-2.0654,-1.23045,-1.1426,-1.07665,-1.0107,-1.0547,-1.53805,-1.033875,-1.0106,-1.7578,-1.2962,-0.81307,-1.4941
"2261",1,"A_M1027MM02_1S2RNA",FALSE,101,-0.21972,-0.21972,-0.21972,-0.21972,-0.26367,-0.35156,-0.35156,-0.35156,-0.52734,-5.6689,-5.625,-5.4272,-5.2734,-5.73485,-30.0365,-271.01,-287.18,-142.095,-89.23,5.47115,62.204,86.088,46.318,16.809,9.558,-1.2744,-2.7026,-0.4834,-4.3945,-2.2192,-1.9995,-1.38425,-1.5161,-1.88965,-1.4941,-1.8457,-1.9336,-2.2851,-2.0654,-2.5488,-1.4062,-2.79055,-2.43895,-0.74706,-1.010745,-2.5928,-1.3623,-1.31835,-1.84565,-0.725095,-1.5381,-1.47215,-0.74706,0.175775,-0.96679,-2.0215,-1.71385,0.21972,-1.4941,-1.4062,-0.35156
"2262",2,"A_M1027MM02_1S2RNA",FALSE,111,0.08789,1.4502,0.131837,0.76904,-1.4941,-1.2085,-1.80175,0.48339,-0.57128,0.48339,-1.2085,2.6147,0.593265,-0.70312,-1.38425,-1.8017,-1.9336,-0.505365,-1.0327,-1.64795,-2.0215,-1.9775,-1.56005,-1.1865,-1.7139,-1.07665,-0.922845,-2.417,-3.5156,-0.96679,0.4834,-1.2085,-1.07665,-1.2744,-1.3183,-0.659175,-0.703125,-1.4062,-2.5049,-1.6699,-1.8457,-1.6699,-2.2412,-0.96679,-1.6699,-0.37353,-0.1318255,-0.725075,-1.0547,-0.65917,-0.988745,-0.08789,-1.5381,-1.582,-1.82375,-0.43945,-1.0547,-1.0327,-1.0107,-1.47215,-0.3955
"2263",3,"A_M1027MM02_1S2RNA",FALSE,111,-0.17578,-0.439455,-0.571275,-0.83495,-1.2305,-1.9995,-0.988755,0.19775,0.0219722755,-1.62595,-1.3403,-1.7578,-1.38425,-0.76902,-0.241695,-0.48339,-1.51615,-1.3183,1.4502,0.52735,-1.1865,-2.417,-1.58205,-0.922815,1.2524,-0.043945,-0.109886,0.351565,-0.395495,0.92284,-2.17525,-2.04345,-2.59275,-1.7139,-0.703115,-1.1865,-0.35156,-1.1206,-2.2412,0.0439345,-0.703125,-2.04345,-0.65917,-1.4941,0.4175,-0.417495,-0.637175,-2.6367,-1.51615,-0.79101,-3.0761,-1.2744,-1.0107,-0.30761,-1.5381,-0.681145,1.0547,-1.7139,-2.2412,-0.70312,1.3623
"2264",4,"A_M1027MM02_1S2RNA",FALSE,111,1.4502,1.9994,-2.92235,-4.02095,-2.9443,-1.38425,-1.0547,-1.3183,-3.3398,-2.1533,-2.19725,-1.6479,-0.90087,-0.48342,-1.64795,0.87894,3.2519,-1.12065,-2.96625,-1.582,-1.51615,-2.37305,-0.10985,0.70312,-1.5161,-1.12055,-1.7358,-2.8564,-0.131845,0.30761,-0.35156,-0.59327,-2.0215,-0.109892,-2.1972,-0.395475,-1.25245,1.0327,1.010785,-1.51615,-2.04345,-3.05415,-2.2192,-2.8125,-1.8017,0.13183,-0.87888,-1.4502,-0.769035,-0.988795,-0.65917,0.307615,-0.988745,-2.1753,-0.79101,1.95555,-1.9116,-1.77975,-1.60405,-1.16455,-0.92284
"2265",5,"A_M1027MM02_1S2RNA",FALSE,102,0.13183,1.62595,-1.9116,-1.8237,-1.4502,-1.2524,-1.56005,-2.5488,-0.417465,-1.6259,-1.16455,-2.5049,-1.0327,-0.615215,-1.82375,-1.9336,-0.41751,0.1318455,3.95505,-2.06545,-3.6035,-4.9658,-0.834875,1.05465,-1.47215,-1.3623,0.48339,-1.0986,-1.7358,-0.35156,0.74706,-1.09865,-2.50485,-1.8896,-2.68065,-2.04345,-2.4389,-2.65865,-0.28563,-2.1094,-0.439435,-0.92284,-0.615255,-1.1865,-1.47215,0.153795,-0.81297,0.10986,-4.5703,-2.35105,0.96673,3.93295,-1.032745,1.6699,4.065,4.812,5.8886,5.3173,5.51515,8.08595,9.7558
"2266",6,"A_M1027MM02_1S2RNA",FALSE,102,10.239,7.3388,4.04295,4.04295,3.6035,5.5151,7.0751,5.1855,6.45995,8.72305,8.6791,4.39445,6.2402,8.2396,8.04195,5.2953,6.13025,4.6582,5.2295,5.14155,6.2402,5.4492,6.372,7.2509,4.3506,5.7568,8.3715,9.11855,7.4047,8.15175,9.1845,7.4267,8.9648,6.13035,8.3056,7.80025,8.2177,5.95455,6.416,3.14205,6.372,9.88765,10.503,10.217,4.81195,5.8007,9.0526,9.03065,10.195,8.94275,2.83445,6.02045,7.6464,3.6474,5.9326,7.7343,5.33935,4.35055,9.4482,6.9433,6.9433
"2267",7,"A_M1027MM02_1S2RNA",FALSE,102,7.1631,9.5361,7.3828,9.58005,10.173,5.3393,6.06445,7.66835,7.58045,5.7568,7.16305,6.56975,4.6142,1.69185,-0.021983229,1.4941,1.1865,0.021962,-1.8017,-1.6479,-1.3623,-1.8017,-1.66995,-2.21915,0,-2.0654,-1.8896,-2.35105,-1.29635,-1.2305,-2.0215,-2.4609,-2.3071,-1.40625,-1.0547,-0.637175,-0.65917,-2.6367,-2.83445,2.0654,-1.2305,-2.417,-0.043945,1.2744,0.571275,-1.9116,-1.8457,-0.812915,-2.3951,-1.14255,-0.92283,-1.626,-1.582,-1.604,-1.6699,-1.6699,-9.2944,-208.91,-245.145,-321.61,-319.66
"2268",8,"A_M1027MM02_1S2RNA",FALSE,105,-315.88,-149.455,-10.4588,8.28365,6.59175,5.42715,7.73425,6.394,3.4277,0.988745,-1.38425,-1.5381,-1.91165,1.18655,1.5601,-1.604,0.703115,-0.549355,-0.65917,-10.261,-21.4455,-31.816,-14.919,-10.063,-17.402,-14.9195,-21.643,-24.741,-18.6985,-6.41595,-3.4276,-3.38375,-1.9336,-1.38425,-0.37354,-0.043945145,-1.93355,-1.75785,-1.66995,0.329585,0.8789,4.5483,2.74655,1.2305,5.42725,6.61375,6.372,5.75675,0.1757475,1.3403,4.6801,8.3935,5.3393,4.68015,6.8115,5.47115,4.7241,2.46095,5.0097,4.7021,5.2295
"2269",9,"A_M1027MM02_1S2RNA",FALSE,105,6.7675,8.3056,2.0654,6.7236,4.1968,4.02095,2.7905,3.7134,6.1962,4.1308,5.3613,7.2289,5.8886,5.62495,5.00975,5.6469,4.3286,2.52685,0.26364,1.95555,1.6479,-0.70313,-1.582,-0.043848355,-0.7251,-0.52734,-1.7578,-0.61523,-0.72509,0.17579,-0.329605,-0.988755,-1.16455,-1.3403,-0.8789,-1.38425,-0.79106,0.241795,0.83495,0.72509,0.46143,-2.43895,-2.02145,-1.1426,-1.3623,0.17578,0.13183,-0.30761,-0.30761,-0.30761,-0.30761,-0.26367,-0.30761,-0.30761,-0.35156,-0.3955,-0.3955,-0.3955,-0.35156,-0.35156,-0.35156
"2270",10,"A_M1027MM02_1S2RNA",FALSE,106,-0.35156,-0.35156,-0.35156,-0.35156,-0.35156,-0.35156,-0.43945,-0.43945,4.021,1.69185,-1.2305,-1.86765,-4.4824,-4.08685,-2.8125,-0.35156,1.1646,0.43945,0.21972,-1.4062,0.21971,-0.2198,-0.79101,1.582,-8.15185,-14.7655,-23.3785,-25.2685,-24.829,-23.708,-18.281,-11.382,-6.7895,-1.648,1.07655,0.39562,-2.21925,-1.60385,-0.153788,-0.70312,-1.3182,-1.0107,2.43895,5.25145,10.459,1.16465,2.3291,4.92185,4.85595,2.70275,2.54865,5.07545,3.71335,4.76805,5.73485,4.50435,4.81185,2.9883,1.23045,2.94425,1.8017
"2271",11,"A_M1027MM02_1S2RNA",FALSE,106,3.4277,6.8995,6.0205,3.3178,2.5267,2.87845,2.7685,-0.395515,-1.20855,-0.769025,0.10986,-3.01025,-1.6918,3.86715,-1.95555,-2.1972,-2.37295,-3.3398,-1.05475,-0.1098405,-0.65917,-1.1865,0.28574,-1.0107,-2.4389,-2.8125,-1.5161,-0.70299,-1.05465,1.0326,-0.74706,-1.9554,-1.01086,-0.153765,-1.77975,-1.09865,-0.61523,-1.2744,-0.1317835,-2.85645,-4.0649,-6.76755,-9.49205,-7.2728,-7.8222,-8.34955,-5.2514,-8.3935,-9.79975,-9.2943,-7.71225,-8.26155,-6.9653,-8.19585,-8.723,-9.8437,-7.9102,-8.08585,-7.4267,-9.31635,-10.415
"2272",12,"A_M1027MM02_1S2RNA",FALSE,106,-8.2179,-7.0971,-6.8554,-6.9433,-8.1299,-8.1738,-8.9648,-9.05265,-8.01995,-6.9874,-7.4265,-8.19575,-8.52545,-8.06385,-7.86595,-9.53605,-12.085,-5.4931,-4.83395,-9.00865,-5.5371,-9.55815,-10.0635,-9.602,-9.0529,-7.1192,-7.6464,-7.3388,-8.2177,-9.624,-7.86615,-7.3389,-4.79,-1.01075,-1.71375,-0.90089,-0.0877615,-2.85645,-1.45015,-0.92284,-0.3955,-0.505375,0.856895,2.0215,-1.0107,-1.1426,-1.9775,-0.74706,-0.57128,3.252,1.56005,-1.71385,-0.96679,1.1206,-0.83495,-1.0107,-1.0547,1.53815,0.81298,-1.1206,-1.0107
"2273",13,"A_M1027MM02_1S2RNA",FALSE,202,-0.87896,-0.637225,-0.241705,1.86755,0.41737,3.1643,2.2412,-3.47165,-2.7685,-0.61523,-1.23045,-0.08789,-1.53795,-2.5928,-2.1094,-1.7578,-0.30761,-1.2305,-1.51605,-1.8017,-1.29635,1.73595,3.22995,-1.07675,6.63565,4.3066,4.5923,3.49365,6.41625,5.16355,6.39405,4.74615,5.88865,6.21825,6.3501,6.3501,6.98735,4.7021,4.1528,5.2295,8.0639,4.87795,5.53705,6.4599,5.2294,5.2735,5.58095,6.1523,3.9111,7.88815,6.5038,6.9652,4.9438,0.856925,2.41715,2.9223,0.043945,3.2299,2.1096,3.99905,0.61523
"2274",14,"A_M1027MM02_1S2RNA",FALSE,203,0.52743,1.0328,4.6141,3.09805,-1.80175,-1.56005,-0.19774,0.57127,1.7578,-0.28564,-1.05475,-0.791065,-0.17578,-0.725095,-0.109895,-0.35156,-0.8789,-0.30761,0.241675,-0.263615,-0.065982,-0.5933,-1.20855,-0.94485,0.08789,-0.659235,-0.8789,-1.91165,-1.29635,2.351,-0.856755,-2.1533,-2.0654,-0.900915,-1.3183,0.944775,-0.68103,-0.96679,-1.3623,1.14245,-1.20835,-0.922845,-1.4062,-0.8789,-1.1426,-0.57128,-0.35156,-1.29635,-0.92278,-1.88955,-1.80175,-6.1523,-5.22955,3.955,2.48275,-0.83495,-1.7577,-1.7578,-1.2524,-0.83495,-0.83495
"2275",15,"A_M1027MM02_1S2RNA",FALSE,203,-1.4062,-1.1865,-1.14255,-0.43943,-1.2086,-0.988695,-0.46141,-0.92284,-0.30761,-3.5377,-1.7139,-1.6699,-0.856885,1.2305,0.61523,-1.582,-1.31835,-1.8457,-1.7139,-0.065928,0.54932,-0.483395,-0.43945,-1.3623,-1.582,-1.626,-0.17578,4.8339,1.2744,-3.7353,-5.42725,-5.8227,1.6699,2.373,0.219745,-0.878895,-1.53805,-1.4502,-0.19789,0.263725,-0.68107,-0.30761,-0.329585,-1.0547,-0.329585,-0.57128,-0.17579,-0.307635,1.3184,-0.30761,-0.922765,-1.0986,-0.68116,-0.769025,0.17579,-0.13183,-0.461435,-0.571325,-0.81297,-0.35156,-0.61523
"2276",16,"A_M1027MM02_1S2RNA",FALSE,203,-0.26367,-1.01076,-2.1094,-2.8564,-2.61475,0.0880275,2.0215,0,-0.197635,-0.922835,-0.988695,-1.4941,-1.0766,-1.23055,0.3955,-0.28549,-0.92284,-0.8789,-0.98877,-1.07655,-0.966785,-0.52734,-0.043945,-0.39548,-0.26367,-3.14205,-0.79096,3.5156,3.6694,-4.63625,-5.66885,-4.7241,0.50537,-0.703195,2.19725,-1.8017,-3.47155,-2.1973,-1.45035,-0.61523,-1.9336,-1.9116,2.24115,-0.72508,-2.13125,-2.373,-1.9775,-2.35105,-1.4941,-1.4941,1.032715,-0.35156,-1.2744,-1.2305,-1.8896,-1.2304,-1.010745,0.90072,0.527305,-1.01075,-1.7578
"2277",17,"A_M1027MM02_1S2RNA",FALSE,203,-1.6699,-2.1094,-1.9775,-0.08789,1.66995,-0.0878255,-0.4393,-2.395,-2.0434,-0.92284,-0.065907,-0.96679,-0.74706,-0.79101,-0.83503,-1.7139,-0.395525,0.065928,-1.582,-1.582,-1.6699,-1.5381,-1.77975,0.10985,-1.1865,-1.7578,-1.1426,-1.8896,-1.2305,-2.04345,-1.6699,0.944775,-1.2305,-2.7685,-2.96625,-0.96679,-1.09855,4.19645,-2.4389,-2.6367,-2.8125,-2.0655,-1.5819,2.96635,1.23045,-1.31845,-1.6699,-1.38425,-0.96679,-0.46138,-0.834955,-0.52734,-0.57128,-1.2305,-1.3183,-0.48335,0.26367,-0.57135,-0.76906,-0.57128,-1.25245
"2278",18,"A_M1027MM02_1S2RNA",FALSE,204,-0.944815,0.0438915,-1.1206,-1.01075,-1.2305,-0.725095,-0.57128,-1.2305,-1.5381,-0.373445,-1.05455,-0.65917,-0.856925,-1.582,0.74706,-1.6041,-1.62605,-1.1865,-0.74706,-0.43945,-0.79101,-1.4941,-1.2305,-1.75775,-1.3623,-0.351515,-0.48339,-0.8789,-1.4721,-0.70312,-1.4941,-1.0984,-0.307485,0.3516,0.76912,-0.35156,-0.219555,-1.07655,-1.8017,-5.4052,-1.60405,3.2078,4.06495,2.28475,-1.6259,-1.71395,-1.1208,0.30738,2.17525,-0.30761,-1.3623,-0.21972,-0.527575,-0.08789,-0.263195,-0.3955,0.593515,0.26367,0.26384,-0.35158,1.03285
"2279",19,"A_M1027MM02_1S2RNA",FALSE,205,0.307635,-0.307675,-0.65917,4.3506,0.637245,-1.75765,-3.2959,-1.58215,-1.82355,-2.32885,-2.6806,-3.8451,-3.6914,-2.4831,-1.1426,-1.4502,-4.7021,-2.5048,-2.35105,-1.80155,-3.7353,-3.3838,-3.6474,-2.7246,-2.2412,-3.8234,-5.8007,-3.05415,-1.56005,-1.88955,-4.68015,-4.6362,-3.208,-3.18595,-3.2081,-3.14195,-4.5483,-4.3727,-3.1201,-2.4609,-3.29595,-4.96595,-4.85605,-1.6919,-2.06545,-2.32895,-6.26225,-5.3392,-1.6919,-1.0546,-3.2959,-3.88895,-5.3613,-3.889,-2.02175,-3.0104,-2.6806,-3.7132,-4.9218,-2.6148,-3.49365
"2280",20,"A_M1027MM02_1S2RNA",FALSE,205,-2.4609,-3.4717,-3.40565,-3.977,-4.7021,-3.07615,-3.66945,-2.7904,-2.98825,-2.9443,-4.5264,-4.26265,-2.94425,-2.1972,-3.22995,-4.85605,-4.3066,-3.7353,-1.07665,-0.769035,-1.73585,-0.967075,-0.966855,-2.06525,-1.8895,-0.43945,-0.6372,0.153915,-0.57128,-0.659175,-1.05475,0,0.461255,2.70275,2.96635,3.75725,3.53755,2.61475,1.31835,5.3173,4.30655,3.4277,2.6367,2.13135,3.5375,3.42745,4.54845,2.9883,2.76855,3.8672,3.53775,3.18595,4.4824,2.8785,2.2851,3.3839,4.30675,3.1201,2.5049,3.3617,2.5488
