"","RunName","win60s","c"
"356","A_M1003YM02_3S1RNA",32,311
"357","A_M1003YM02_3S1RNA",33,311
"358","A_M1003YM02_3S1RNA",34,311
"359","A_M1003YM02_3S1RNA",35,311
"360","A_M1003YM02_3S1RNA",36,311
"361","A_M1003YM02_3S1RNA",37,311
"362","A_M1003YM02_3S1RNA",38,311
"363","A_M1004YM02_1S2RNA",1,111
"364","A_M1004YM02_1S2RNA",2,111
"365","A_M1004YM02_1S2RNA",3,111
"366","A_M1004YM02_1S2RNA",4,103
"367","A_M1004YM02_1S2RNA",5,102
"368","A_M1004YM02_1S2RNA",6,105
"369","A_M1004YM02_1S2RNA",7,105
"370","A_M1004YM02_1S2RNA",8,106
"371","A_M1004YM02_1S2RNA",9,106
"372","A_M1004YM02_1S2RNA",10,106
"373","A_M1004YM02_1S2RNA",11,202
"374","A_M1004YM02_1S2RNA",12,203
"375","A_M1004YM02_1S2RNA",13,203
"376","A_M1004YM02_1S2RNA",14,203
"377","A_M1004YM02_1S2RNA",15,203
"378","A_M1004YM02_1S2RNA",16,205
"379","A_M1004YM02_1S2RNA",17,205
"380","A_M1004YM02_1S2RNA",18,205
"381","A_M1004YM02_1S2RNA",19,205
"382","A_M1004YM02_1S2RNA",20,206
"383","A_M1004YM02_1S2RNA",21,303
"384","A_M1004YM02_1S2RNA",22,304
"385","A_M1004YM02_1S2RNA",23,304
"386","A_M1004YM02_1S2RNA",24,304
"387","A_M1004YM02_1S2RNA",25,304
"388","A_M1004YM02_1S2RNA",26,306
"389","A_M1004YM02_1S2RNA",27,306
"390","A_M1004YM02_1S2RNA",28,306
"391","A_M1004YM02_1S2RNA",29,308
"392","A_M1004YM02_1S2RNA",30,308
"393","A_M1004YM02_1S2RNA",31,309
"394","A_M1004YM02_1S2RNA",32,311
"395","A_M1004YM02_1S2RNA",33,311
"396","A_M1004YM02_1S2RNA",34,311
"397","A_M1004YM02_1S2RNA",35,311
"398","A_M1004YM02_1S2RNA",36,311
"399","A_M1004YM02_1S2RNA",37,311
"400","A_M1004YM02_1S2RNA",38,311
"401","A_M1004YM02_1S2RNA",39,311
"402","A_M1004YM02_1S2RNA",40,311
"403","A_M1004YM02_1S2RNA",41,311
"404","A_M1004YM02_1S2RNA",42,311
"405","A_M1004YM02_2S3RNA",1,111
"406","A_M1004YM02_2S3RNA",2,111
"407","A_M1004YM02_2S3RNA",3,111
"408","A_M1004YM02_2S3RNA",4,102
