,RunName,win60s,drowsy,new,c,0,1
118,A_M1002YM01_2S2RNA,2,False,2A_M1002YM01_2S2RNA,111.0,0.6056179,0.39438212
119,A_M1002YM01_2S2RNA,3,False,3A_M1002YM01_2S2RNA,111.0,0.5464209,0.45357913
120,A_M1002YM01_2S2RNA,4,False,4A_M1002YM01_2S2RNA,102.0,0.999984,1.5915539e-05
121,A_M1002YM01_2S2RNA,5,False,5A_M1002YM01_2S2RNA,102.0,0.99869126,0.001308784
122,A_M1002YM01_2S2RNA,6,False,6A_M1002YM01_2S2RNA,105.0,0.9967411,0.0032589333
123,A_M1002YM01_2S2RNA,7,False,7A_M1002YM01_2S2RNA,105.0,0.9916502,0.008349847
124,A_M1002YM01_2S2RNA,8,False,8A_M1002YM01_2S2RNA,106.0,0.9991242,0.00087583193
125,A_M1002YM01_2S2RNA,9,False,9A_M1002YM01_2S2RNA,106.0,0.99760556,0.0023943547
126,A_M1002YM01_2S2RNA,10,False,10A_M1002YM01_2S2RNA,202.0,0.97055674,0.029443251
127,A_M1002YM01_2S2RNA,11,False,11A_M1002YM01_2S2RNA,203.0,0.79736924,0.20263082
128,A_M1002YM01_2S2RNA,12,False,12A_M1002YM01_2S2RNA,203.0,0.55083734,0.4491627
129,A_M1002YM01_2S2RNA,13,False,13A_M1002YM01_2S2RNA,203.0,0.9042272,0.09577276
130,A_M1002YM01_2S2RNA,14,False,14A_M1002YM01_2S2RNA,203.0,0.12062678,0.87937325
131,A_M1002YM01_2S2RNA,15,False,15A_M1002YM01_2S2RNA,205.0,0.4695334,0.5304666
132,A_M1002YM01_2S2RNA,16,False,16A_M1002YM01_2S2RNA,205.0,0.62055916,0.3794409
133,A_M1002YM01_2S2RNA,17,False,17A_M1002YM01_2S2RNA,205.0,0.99944717,0.00055286504
134,A_M1002YM01_2S2RNA,18,False,18A_M1002YM01_2S2RNA,205.0,0.9958853,0.0041146474
135,A_M1002YM01_2S2RNA,19,False,19A_M1002YM01_2S2RNA,301.0,0.99999845,1.5607981e-06
136,A_M1002YM01_2S2RNA,20,False,20A_M1002YM01_2S2RNA,304.0,0.9994616,0.0005384561
137,A_M1002YM01_2S2RNA,21,False,21A_M1002YM01_2S2RNA,304.0,1.0,8.592302e-09
138,A_M1002YM01_2S2RNA,22,False,22A_M1002YM01_2S2RNA,304.0,0.99909914,0.00090090756
139,A_M1002YM01_2S2RNA,23,False,23A_M1002YM01_2S2RNA,304.0,0.9995858,0.00041416977
140,A_M1002YM01_2S2RNA,24,False,24A_M1002YM01_2S2RNA,305.0,0.7163019,0.2836981
141,A_M1002YM01_2S2RNA,25,False,25A_M1002YM01_2S2RNA,306.0,0.9893875,0.010612533
142,A_M1002YM01_2S2RNA,26,False,26A_M1002YM01_2S2RNA,306.0,0.999877,0.00012304445
143,A_M1002YM01_2S2RNA,27,False,27A_M1002YM01_2S2RNA,307.0,1.0,1.0015975e-08
144,A_M1002YM01_2S2RNA,28,False,28A_M1002YM01_2S2RNA,308.0,0.9999411,5.889056e-05
145,A_M1002YM01_2S2RNA,29,False,29A_M1002YM01_2S2RNA,308.0,0.7838634,0.21613656
146,A_M1002YM01_3S3RNA,1,False,1A_M1002YM01_3S3RNA,111.0,0.99753773,0.0024622832
147,A_M1002YM01_3S3RNA,2,False,2A_M1002YM01_3S3RNA,111.0,1.0,2.3830068e-10
148,A_M1002YM01_3S3RNA,3,False,3A_M1002YM01_3S3RNA,111.0,0.9391951,0.060804844
149,A_M1002YM01_3S3RNA,4,False,4A_M1002YM01_3S3RNA,105.0,0.99999094,9.028467e-06
150,A_M1002YM01_3S3RNA,5,False,5A_M1002YM01_3S3RNA,102.0,0.75845146,0.24154858
